16S_rRNA_seq_30_1302373217_HT3_genus-table.tsv,In cult. for 6 months
16S_rRNA_seq_30_1326789214_HTF_genus-table.tsv,In cult. for 3 months
16S_rRNA_seq_30_1305444119_HT2_genus-table.tsv,Original reservoir water
