16S_rRNA_seq_30_1302373217_HT3_stats.log,In cult. for 6 months
16S_rRNA_seq_30_1326789214_HTF_stats.log,In cult. for 3 months
16S_rRNA_seq_30_1305444119_HT2_stats.log,Filtered lake water
